Date,Weekly Close,Weekly Change Rate Percent
2010-07-04,1.2799999713897705,
2010-07-11,1.159999966621399,-9.37500058207662
2010-07-18,1.3760000467300415,18.620697096894023
2010-07-25,1.4193329811096191,3.149195705520147
2010-08-01,1.329332947731018,-6.341009092048299
2010-08-08,1.305999994277954,-1.7552377297869626
2010-08-15,1.2213330268859863,-6.4829224933325875
2010-08-22,1.273332953453064,4.25763697716921
2010-08-29,1.3133330345153809,3.1413685598761454
2010-09-05,1.4033329486846924,6.852786902030639
2010-09-12,1.3446669578552246,-4.180475551753693
2010-09-19,1.348667025566101,0.29747646341042877
2010-09-26,1.340000033378601,-0.6426339506493073
2010-10-03,1.373332977294922,2.487533066120684
2010-10-10,1.3619999885559082,-0.8252178405659949
2010-10-17,1.369333028793335,0.5384023714421371
2010-10-24,1.3813329935073853,0.8763364690490771
2010-10-31,1.4559999704360962,5.405429196266542
2010-11-07,1.6293330192565918,11.904742605769393
2010-11-14,1.9893330335617063,22.094931487325418
2010-11-21,2.065999984741211,3.853902282125188
2010-11-28,2.354666948318481,13.972263587089472
2010-12-05,2.0993330478668213,-10.843737397087061
2010-12-12,2.101332902908325,0.0952614471313229
2010-12-19,2.0906670093536377,-0.5075775256707549
2010-12-26,2.00600004196167,-4.049758618334154
2011-01-02,1.775333046913147,-11.498852952313666
2011-01-09,1.8826669454574585,6.045845805154015
2011-01-16,1.7166670560836792,-8.817273271531512
2011-01-23,1.5360000133514404,-10.524291364011129
2011-01-30,1.6006669998168943,4.21009022808243
2011-02-06,1.5640000104904177,-2.290731884312669
2011-02-13,1.5499999523162842,-0.8951443785312763
2011-02-20,1.5453330278396606,-0.3010919109803445
2011-02-27,1.5740000009536743,1.855067651928044
2011-03-06,1.6633330583572388,5.675543668960503
2011-03-13,1.6046669483184814,-3.527021226686722
2011-03-20,1.5306669473648071,-4.611548896873485
2011-03-27,1.5166670083999634,-0.914629991125504
2011-04-03,1.7773330211639404,17.186766199851043
2011-04-10,1.7660000324249268,-0.6376401385707609
2011-04-17,1.7053329944610596,-3.4352795498290067
2011-04-24,1.78266704082489,4.534835519808289
2011-05-01,1.840000033378601,3.216135780868057
2011-05-08,1.807999968528748,-1.7391339276823126
2011-05-15,1.8366669416427608,1.5855626998345862
2011-05-22,1.864667057991028,1.5245070139512151
2011-05-29,1.9700000286102293,5.648888908494243
2011-06-05,2.0086669921875,1.962790000797554
2011-06-12,1.8573329448699951,-7.534053574141597
2011-06-19,1.7666670083999634,-4.881512316919457
2011-06-26,1.838000059127808,4.0377190714876
2011-07-03,1.9346669912338257,5.2593541347267125
2011-07-10,1.920667052268982,-0.7236355935299921
2011-07-17,1.838667035102844,-4.269350956443341
2011-07-24,1.952666997909546,6.200141767393208
2011-07-31,1.878000020980835,-3.8238458994107383
2011-08-07,1.616000056266785,-13.951009679819581
2011-08-14,1.753999948501587,8.539596994421128
2011-08-21,1.4866670370101929,-15.241329494893774
2011-08-28,1.5820000171661377,6.412530700059582
2011-09-04,1.537999987602234,-2.7812913455412924
2011-09-11,1.5313329696655271,-0.4334862152437946
2011-09-18,1.7200000286102295,12.320446479116232
2011-09-25,1.7586669921875,2.2480792403540617
2011-10-02,1.6260000467300415,-7.5436080876483675
2011-10-09,1.7993329763412476,10.660081465544003
