X,Y,
645.000000,95.798283,
646.000000,95.679481,
647.000000,95.560679,
648.000000,95.441878,
649.000000,95.323076,
650.000000,95.204275,
651.000000,95.172325,
652.000000,95.314765,
653.000000,95.457204,
654.000000,95.599643,
655.000000,95.742083,
656.000000,95.884522,
657.000000,96.026961,
658.000000,96.169401,
659.000000,96.311840,
660.000000,96.454279,
661.000000,96.565269,
662.000000,96.437983,
663.000000,96.310698,
664.000000,96.183413,
665.000000,96.056128,
666.000000,95.928843,
667.000000,95.801558,
668.000000,95.674273,
669.000000,95.546988,
670.000000,95.419703,
671.000000,95.475110,
672.000000,95.649228,
673.000000,95.823346,
674.000000,95.997464,
675.000000,96.171582,
676.000000,96.345700,
677.000000,96.519818,
678.000000,96.693936,
679.000000,96.868054,
680.000000,97.042173,
681.000000,97.093578,
682.000000,96.955690,
683.000000,96.817801,
684.000000,96.679913,
685.000000,96.542024,
686.000000,96.404136,
687.000000,96.266247,
688.000000,96.128359,
689.000000,95.990470,
690.000000,95.996668,
691.000000,96.093602,
692.000000,96.190535,
693.000000,96.287468,
694.000000,96.384401,
695.000000,96.481335,
696.000000,96.578268,
697.000000,96.675201,
698.000000,96.772135,
699.000000,96.869068,
700.000000,96.966001,
