X,Y,
400.000000,8.472299,
401.000000,8.823862,
402.000000,9.175425,
403.000000,9.526988,
404.000000,9.878550,
405.000000,10.008572,
406.000000,10.008555,
407.000000,10.008538,
408.000000,10.008520,
409.000000,10.008503,
410.000000,10.008486,
411.000000,10.008469,
412.000000,10.008451,
413.000000,10.008434,
414.000000,10.008417,
415.000000,10.008399,
416.000000,10.008382,
417.000000,10.008365,
418.000000,10.008348,
419.000000,10.008330,
420.000000,9.734601,
421.000000,9.406274,
422.000000,9.077947,
423.000000,8.749620,
424.000000,8.467734,
425.000000,8.522429,
426.000000,8.577123,
427.000000,8.631817,
428.000000,8.686512,
429.000000,8.798025,
430.000000,8.933566,
431.000000,9.069106,
432.000000,9.204647,
433.000000,9.340187,
434.000000,9.475728,
435.000000,9.611269,
436.000000,9.746809,
437.000000,9.796121,
438.000000,9.663254,
439.000000,9.530388,
440.000000,9.397521,
441.000000,9.264654,
442.000000,9.131787,
443.000000,8.998920,
444.000000,8.866054,
445.000000,8.733187,
446.000000,8.632104,
447.000000,8.678344,
448.000000,8.724583,
449.000000,8.770823,
450.000000,8.817063,
451.000000,8.825081,
452.000000,8.691625,
453.000000,8.558169,
454.000000,8.424713,
455.000000,8.291257,
456.000000,8.157801,
457.000000,8.024345,
458.000000,7.890889,
459.000000,7.757433,
460.000000,7.722627,
461.000000,7.751564,
462.000000,7.780501,
463.000000,7.809439,
464.000000,7.838376,
465.000000,7.867313,
466.000000,7.784350,
467.000000,7.611463,
468.000000,7.438576,
469.000000,7.265688,
470.000000,7.092801,
471.000000,6.919913,
472.000000,6.747026,
473.000000,6.574139,
474.000000,6.401251,
475.000000,6.228364,
476.000000,6.055476,
477.000000,6.023119,
478.000000,6.014269,
479.000000,6.005418,
480.000000,5.996567,
481.000000,5.987716,
482.000000,5.963805,
483.000000,5.915673,
484.000000,5.867542,
485.000000,5.804875,
486.000000,5.633142,
487.000000,5.461409,
488.000000,5.258374,
489.000000,5.015946,
490.000000,4.773517,
491.000000,4.531089,
492.000000,4.288661,
493.000000,4.046232,
494.000000,3.793170,
495.000000,3.426222,
496.000000,3.059273,
497.000000,2.692325,
498.000000,2.325377,
499.000000,1.842677,
500.000000,1.349688,
501.000000,0.856699,
502.000000,0.363711,
503.000000,0.022936,
504.000000,0.022804,
505.000000,0.022671,
506.000000,0.022539,
507.000000,0.022407,
508.000000,0.022275,
509.000000,0.022143,
510.000000,0.022011,
511.000000,0.021879,
512.000000,0.021746,
513.000000,0.021614,
514.000000,0.021482,
515.000000,0.021350,
516.000000,0.021218,
517.000000,0.021086,
518.000000,0.020954,
519.000000,0.020821,
520.000000,0.020689,
521.000000,0.020557,
522.000000,0.020425,
523.000000,0.020293,
524.000000,0.020161,
525.000000,0.020029,
526.000000,0.019896,
527.000000,0.019764,
528.000000,0.019632,
529.000000,0.019500,
530.000000,0.019368,
531.000000,0.019236,
532.000000,0.019103,
533.000000,0.018971,
534.000000,0.018839,
535.000000,0.018707,
536.000000,0.018575,
537.000000,0.018443,
538.000000,0.018311,
539.000000,0.018178,
540.000000,0.018046,
541.000000,0.017914,
542.000000,0.017782,
543.000000,0.017650,
544.000000,0.017518,
545.000000,0.017386,
546.000000,0.017253,
547.000000,0.017121,
548.000000,0.016989,
549.000000,0.016857,
550.000000,0.016725,
551.000000,0.016593,
552.000000,0.016461,
553.000000,0.016328,
554.000000,0.016196,
555.000000,0.016064,
556.000000,0.015932,
557.000000,0.015800,
558.000000,0.015668,
559.000000,0.015536,
560.000000,0.015403,
561.000000,0.015271,
562.000000,0.015139,
563.000000,0.015007,
564.000000,0.014875,
565.000000,0.014743,
566.000000,0.014611,
567.000000,0.014478,
568.000000,0.014346,
569.000000,0.014214,
570.000000,0.014082,
571.000000,0.013950,
572.000000,0.013818,
573.000000,0.013686,
574.000000,0.013553,
575.000000,0.013421,
576.000000,0.013289,
577.000000,0.013157,
578.000000,0.013025,
579.000000,0.012893,
580.000000,0.012761,
581.000000,0.012628,
582.000000,0.012496,
583.000000,0.012364,
584.000000,0.012232,
585.000000,0.012100,
586.000000,0.011968,
587.000000,0.011836,
588.000000,0.011703,
589.000000,0.011571,
590.000000,0.011439,
591.000000,0.011307,
592.000000,0.011175,
593.000000,0.011043,
594.000000,0.010911,
595.000000,0.010778,
596.000000,0.010646,
597.000000,0.010514,
598.000000,0.010382,
599.000000,0.010250,
600.000000,0.010118,
601.000000,0.009986,
602.000000,0.009853,
603.000000,0.009721,
604.000000,0.009589,
605.000000,0.009457,
606.000000,0.009325,
607.000000,0.009193,
608.000000,0.009061,
609.000000,0.008928,
610.000000,0.008796,
611.000000,0.008664,
612.000000,0.008532,
613.000000,0.008400,
614.000000,0.008268,
615.000000,0.008136,
616.000000,0.008003,
617.000000,0.007871,
618.000000,0.007739,
619.000000,0.007607,
620.000000,0.007475,
621.000000,0.007343,
622.000000,0.007210,
623.000000,0.007078,
624.000000,0.006946,
625.000000,0.006814,
626.000000,0.006682,
627.000000,0.006550,
628.000000,0.006418,
629.000000,0.006285,
630.000000,0.006153,
631.000000,0.006021,
632.000000,0.005889,
633.000000,0.005757,
634.000000,0.005625,
635.000000,0.005493,
