,GOOG_70rsi,GOOG_14rsi,GOOG,GOOG_ao,GOOG_ah,GOOG_al,GOOG_vol,GOOG_100ema,GOOG_25ema,GOOG_5ema,QQQ_70rsi,QQQ_14rsi,QQQ,QQQ_ao,QQQ_ah,QQQ_al,QQQ_vol,QQQ_100ema,QQQ_25ema,QQQ_5ema,^TNX_70rsi,^TNX_14rsi,^TNX,^TNX_ao,^TNX_ah,^TNX_al,^TNX_vol,^TNX_100ema,^TNX_25ema,^TNX_5ema,^VIX_70rsi,^VIX_14rsi,^VIX,^VIX_ao,^VIX_ah,^VIX_al,^VIX_vol,^VIX_100ema,^VIX_25ema,^VIX_5ema,DGS10_70rsi,DGS10_14rsi,DGS10,DGS10_100ema,DGS10_25ema,DGS10_5ema
2014-08-18,0.04130115016874911,0.11454512048618383,0.015135662969937834,-0.010392332004947047,0.004036690944070331,-0.010581283495946114,-0.16738595787497307,-0.02918704172797737,-0.011473243306282632,-0.00998959911999553,0.2048195875475747,0.3585376804470746,0.007700874040075496,-0.0026490066225165476,0.0009169638308708095,-0.003871625063678219,-0.3000559678017233,-0.04967353085569193,-0.021197849936421043,-0.008179053022017602,-0.0981787896621654,-0.2255712643248097,-0.2967453206731664,-0.008797653958944274,0.0029325513196480912,-0.0100544616673649,0.0,0.06149867152550548,0.02417934561149293,-0.0005877015508567451,-0.020789498567295225,-0.1148286595853574,-0.2858039321659926,0.04301948051948057,0.04301948051948057,-0.004870129870129913,0.0,0.05146599826101772,0.13378197717589768,0.035121868652674415,-0.09510084700390806,-0.22144402389643503,-0.4401552289002525,0.06449067274105591,0.027562738204378823,-0.0005155763548749803
2014-08-19,0.05221317651254651,0.1726015023001564,0.008073381888140796,-0.003169410080768875,0.0008179122789080395,-0.004873393995160735,-0.24407200059969344,-0.03608011788821386,-0.017855917005306088,-0.009866955197175065,0.21666310568516992,0.40540008539667327,0.005603369268215787,-0.003242147922999039,0.0006079027355623268,-0.003850050658561255,-0.45441160335012504,-0.05350191896772871,-0.024213085830099623,-0.007457078689463437,-0.08819241145174515,-0.16602984008217617,-0.29187616437081454,-0.017463617463617354,0.0008316008316009427,-0.018295218295218074,0.0,0.05214944767391305,0.014523666922521938,-0.006156210895547076,-0.02300503808403363,-0.12343125588989494,-0.2900601763276831,-0.005733005733005725,0.020475020475020367,-0.024570024570024662,0.0,0.059120256799876314,0.1331658075540283,0.021682173340941358,-0.08990977596464418,-0.19128961492809451,-0.4389958352260436,0.05849160414126531,0.02068869904446169,-0.004383886255924008
2014-08-20,0.04612194718753173,0.13228575218792243,-0.004038441877108688,0.002378141627743746,0.0037810740987871405,-0.0032849150541497396,0.06365741117342645,-0.03140463230677615,-0.012768660593322823,-0.0030616069958181447,0.21666310568516992,0.40540008539667327,0.0,-0.0009118541033434902,0.0020263424518744966,-0.0017223910840932222,0.09699821821220282,-0.052069351088835036,-0.02200818904989088,-0.0038087385400860096,-0.0766049825404349,-0.0989502857545564,-0.2861954820180706,-0.005770816158285341,0.007419620774938185,-0.010305028854080911,0.0,0.04182413929583184,0.0047449008283309,-0.009568536744509415,-0.03169346239171588,-0.15788481953715278,-0.30669822168701893,0.03820033955857394,0.039049235993208864,-0.015280135823429464,0.0,0.09515268023782686,0.16190013869791642,0.03451105979288571,-0.074409377889164,-0.10329148252657092,-0.43551765420341654,0.04414171779753473,0.00687165531322198,-0.011116962143818299
2014-08-21,0.043226614334414964,0.11281416720435089,-0.0019162004482540412,0.000771380084680473,0.0019370211015308225,-0.003822616864082806,-0.11598441418406359,-0.028819747157208697,-0.00983817754645766,-9.423916779716102e-06,0.2210053547764116,0.4231720877667638,0.0020262350814202607,-0.0014155712841255053,0.0005055611729019027,-0.0030333670374116384,-0.17645135788060326,-0.05255790496040791,-0.02162025226674935,-0.002875157574139031,-0.0855427296513838,-0.14677611385384026,-0.29133514700388646,0.014540922309929538,0.014540922309929538,-0.0037390943082674655,0.0,0.0486500154579097,0.011361205658839468,-0.0010199319914071525,-0.032099615563826095,-0.15953949072092613,-0.3074720842618717,0.014455782312925214,0.14880952380952372,-0.020408163265306145,0.0,0.0945354070768123,0.14842766529320306,0.021343134410162223,-0.08322740875435741,-0.14845197503983726,-0.43783644155183454,0.051349613748995715,0.013756718747707009,-0.001730546105287889
2014-08-22,0.04111249358645651,0.09810657988891976,-0.001388484152424806,0.0017680582257622035,0.00459351826421317,-0.003295797857731375,-0.1363426733324627,-0.02684352986044003,-0.008068994475554203,0.0017085887294649993,0.2242771262498495,0.43676911380377675,0.0015166033162213072,-0.0011105502271580026,0.002019182231196348,-0.0033316506814740077,0.2752194113330992,-0.05260811016352651,-0.02096904916308817,-0.0020812746301179796,-0.08742925401286669,-0.15692159814145412,-0.29241718173774245,-0.0037453183520599342,0.017062005826050664,-0.004993757802746579,0.0,0.04893852224410811,0.011635928774393234,0.0016488078685215068,-0.03803505914596883,-0.18455937166971637,-0.31869309159723763,0.03574542284219695,0.08805579773321703,0.0,0.0,0.11934853225466902,0.163194156432114,0.024039633579459263,-0.08763640339593763,-0.1709347934020822,-0.4389958352260436,0.05414888704198395,0.01609653382170495,0.0028830963665089637
2014-08-25,0.03491335912069928,0.05438172984203035,-0.0040510848667946655,0.00779041709755246,0.008273009307135482,-0.0020682523267839814,0.7329387609182533,-0.022361475927010654,-0.003916051396453346,0.0036846258276685973,0.23191345089521534,0.4682650373429641,0.0035333823318212327,0.0012072434607643956,0.0028169014084507005,-0.0024144869215293463,-0.026708253415657135,-0.0545180214893507,-0.022126686094061876,-0.00309423294931499,-0.09500549678487744,-0.19800137500262166,-0.2967453206731664,-0.00041893590280683846,0.009635525764558173,-0.00041893590280683846,0.0,0.054321116393765134,0.01656193515564941,0.005575222820292325,-0.03293851515065967,-0.15518728188028588,-0.3097936719864302,-0.01025641025641022,0.005982905982905962,-0.03931623931623929,0.0,0.09504844997295048,0.12839265934128896,-7.29128691212555e-05,-0.09206617257102138,-0.1938560738747364,-0.4401552289002525,0.056842374443002,0.01827961773796627,0.0047195066330882884
2014-08-26,0.028751712694379563,0.011379923304144769,-0.004033092037228596,0.005883778077734991,0.006818260478316462,-0.002215069393970759,0.20935632778540764,-0.017994646934191394,-0.00024278890580786694,0.004378633175552427,0.23409885326872257,0.4772594073607161,0.0010059832855244726,0.00030150753768865,0.0011055276381910506,-0.0023115577889446515,-0.1676531193974883,-0.054026971977278015,-0.020982504249702494,-0.0023242961255536265,-0.09270469552063844,-0.18248887241558592,-0.2956632859393104,-0.0016729401923881726,0.0037641154328731385,-0.009619406106231798,0.0,0.05099939347479565,0.013340917298476418,0.0022993016862207227,-0.03440230633990964,-0.16199776745146507,-0.31250219099841503,-0.02579535683576961,0.02579535683576939,-0.02579535683576961,0.0,0.09916312387999349,0.12415484768002694,0.0014425839367870896,-0.09206617257102138,-0.1938560738747364,-0.4401552289002525,0.05518513461855945,0.01642067044972695,0.002934819250827836
2014-08-27,0.01085234413021368,-0.10399047622065041,-0.011871387533312591,0.01098073555166379,0.013117338003502566,-0.0015709281961472366,0.0513318629403474,-0.0059229038933026334,0.010336984748516853,0.009769175222649196,0.23454259938253627,0.47916488479445746,0.00020183544104195324,0.00010048231511272654,0.00120578778135072,-0.0021101286173631495,-0.22425447854615077,-0.0527275406892197,-0.019273757292249005,-0.0012671942797415348,-0.10698157975062145,-0.25989314342861375,-0.30377854644323016,0.002964845404489491,0.011859381617958409,-0.0008470986869971719,0.0,0.06260045189937968,0.023675632054637408,0.008631574298785027,-0.03100972731366042,-0.14077531106199445,-0.30669822168701893,-0.007640067911714787,0.012733446519524572,-0.02037351443123936,0.0,0.08290699258293333,0.10165662083508908,-0.007539487765430675,-0.1010503108755782,-0.24243726424874723,-0.4424740162486705,0.062336719625271764,0.022517011764266126,0.006319115323854874
2014-08-28,0.006192135107127115,-0.1319704717103255,-0.003152364273204824,0.0006324666198171958,0.007115249472944507,-0.0036893886156008637,-0.23862880128779268,-0.0025552075517788486,0.01198088850657597,0.007383106913170234,0.23057949985434548,0.4480196763546223,-0.0011056668579511994,-0.002112463534855613,0.0012071220199174615,-0.0033195855547730746,0.5125734046602666,-0.05021643698899081,-0.016512096651352337,0.0001515534502922744,-0.1196301487664492,-0.3221033879400196,-0.311082280896758,0.0029991431019709136,0.006855184233076184,-0.005141388174807249,0.0,0.07293037916236456,0.03188389750891951,0.011951899998781768,-0.024871663030967852,-0.10176872124544388,-0.2962510769265057,0.027385892116182475,0.056431535269709565,0.0,0.0,0.05657614201804151,0.07126082392745459,-0.018634835106487335,-0.11438574137513129,-0.3096428450364317,-0.4459521972712975,0.07396230176982921,0.031960729877450245,0.01130149471381725
2014-08-29,0.012351103038438538,-0.08339197741797377,0.004216444132115209,-0.0004723582925122427,0.0007697690692791692,-0.007926522043386952,-0.16537314176571496,-0.006519145554747086,0.006770615263556712,0.0011329302631013505,0.23891307639152104,0.48712117691639234,0.003721551751349454,-0.0013028663058728407,0.0013439567047504042,-0.00511024253357395,-0.24265765542925177,-0.05224926186758272,-0.018241597666396214,-0.002001333278239925,-0.11429301509164674,-0.2833788895829031,-0.30864770274558206,0.0008536064874093974,0.0046948356807512415,-0.007682458386683688,0.0,0.06699937552738056,0.02512581874773412,0.004081938131734741,-0.02395545328040768,-0.09579085145917815,-0.2947033517768001,-0.01902398676592232,0.028949545078577277,-0.02564102564102566,0.0,0.0513115965254074,0.061910799988744714,-0.011995342984488122,-0.10882334785612144,-0.26922359053333994,-0.44479280359708845,0.06756976211120458,0.02478347328079722,0.003589795300998233
