,DGS10_70rsi,DGS10_14rsi,DGS10,DGS10_100ema,DGS10_25ema,DGS10_5ema
1962-01-02,,,-0.24653648530735184,,,
1962-01-03,,,-0.2500146663299787,,,
1962-01-04,,,-0.25465224102681466,,,
1962-01-05,,,-0.2511740600041878,,,
1962-01-08,,,-0.2500146663299787,,,-0.001764021027130691
1962-01-09,,,-0.2476958789815608,,,-0.0045872096425019215
1962-01-10,,,-0.24537709163314278,,,-0.005822280703797311
1962-01-11,,,-0.24421769795893383,,,-0.004390855868413701
1962-01-12,,,-0.24421769795893383,,,-0.0021838119133907874
1962-01-15,,,-0.2418989106105159,,,-0.00383770662351135
1962-01-16,,,-0.2384207295878889,,,-0.006403268191363498
1962-01-17,,,-0.23958012326209788,,,-0.002047577416831481
1962-01-18,,,-0.24073951693630682,,,0.0006226865465113196
1962-01-19,,,-0.24073951693630682,,,0.0007841237993104766
1962-01-22,,0.12000000000000142,-0.24305830428472486,,,0.00366168785269827
1962-01-23,,0.189801699716717,-0.24073951693630682,,,-0.0010608733755375077
1962-01-24,,0.14106583072100293,-0.2418989106105159,,,0.0006704427233847898
1962-01-25,,0.1773545397157791,-0.24073951693630682,,,-0.0011761856989654929
1962-01-26,,0.1773545397157791,-0.24073951693630682,,,-0.0007841237993101435
1962-01-29,,0.21577998654705324,-0.23958012326209788,,,-0.0017714995628766994
1962-01-30,,0.15755204582314022,-0.24073951693630682,,,0.00043818682902641015
1962-01-31,,0.10077662979824652,-0.2418989106105159,,,0.001918853311756008
1962-02-01,,0.04554990979264133,-0.24305830428472486,,,0.0026651525510146268
1962-02-02,,-0.00804536996736374,-0.24421769795893383,,,0.0030433974537682484
1962-02-05,,-0.05993995586086214,-0.24537709163314278,,0.005342216269535349,0.003050875088789873
1962-02-06,,-0.11007794318174603,-0.24653648530735184,,0.007217011038350263,0.003058389559452035
1962-02-07,,-0.04978107903508459,-0.24537709163314278,,0.004495667325023822,2.3289122815350893e-05
1962-02-08,,-0.04978107903508459,-0.24537709163314278,,0.004386209656234374,-0.0002328912281518436
1962-02-09,,-0.15610457496349767,-0.2476958789815608,,0.008716281384509639,0.0027616874378331158
1962-02-13,,-0.24685876468057016,-0.2500146663299787,,0.012666754634227395,0.004657015511625007
1962-02-14,,-0.24685876468057016,-0.2500146663299787,,0.011632711661040851,0.0027283525219621296
1962-02-15,,-0.2910688623214975,-0.2511740600041878,,0.012911245894655421,0.002853033411143624
1962-02-16,,-0.2910688623214975,-0.2511740600041878,,0.011738596084773789,0.0012732545801801276
1962-02-19,,-0.3362560185413082,-0.25233345367839677,,0.012954674073795358,0.0020091950219238708
1962-02-20,,-0.048396187379704685,-0.2476958789815608,,0.0025747899517145623,-0.005008483997425595
1962-02-21,,-0.14730598116308002,-0.2500146663299787,,0.006671165121336919,-4.7040560723576874e-05
1962-02-23,,-0.19249993884612365,-0.2511740600041878,,0.008170399814797946,0.0016269364080077064
1962-02-26,,-0.27523661705824354,-0.25349284735260574,,0.01186431521201392,0.004170616113744252
1962-02-27,,-0.2085592923710607,-0.25233345367839677,,0.008322552833879948,0.0011109666591815337
1962-02-28,,-0.250748346167877,-0.25349284735260574,,0.009738693009893495,0.0017772511848341832
1962-03-01,,-0.32791350407477154,-0.2558116347010237,,0.01328053881415614,0.003905784848412752
1962-03-02,,-0.32791350407477154,-0.2558116347010237,,0.011896397228996713,0.0020957869918312166
1962-03-05,,-0.1862263513097365,-0.25349284735260574,,0.005980312223379913,-0.0019431279620850672
1962-03-06,,-0.12177652926927805,-0.25233345367839677,,0.0029047100666745873,-0.0029546985616526467
1962-03-07,,-0.1703219679159676,-0.25349284735260574,,0.004634917447549514,-0.0003080568720377208
1962-03-08,,-0.25859237279805386,-0.2558116347010237,,0.008545687113489242,0.003143680487746714
1962-03-09,,-0.33480692939526707,-0.2581304220494417,,0.012165046332850649,0.0052180573507587535
1962-03-12,,-0.4011071109565566,-0.26044920939785965,,0.015514141454848307,0.006110616594895202
1962-03-13,,-0.4591595957454658,-0.2627679967462776,,0.018612572340479083,0.006335235516007343
1962-03-14,,-0.38677718671752387,-0.2616086030720686,,0.014359952467626558,0.0016159569721310163
1962-03-15,,-0.19522548273026957,-0.2581304220494417,,0.005858253835018923,-0.0042366795921297
1962-03-16,,-0.19522548273026957,-0.2581304220494417,,0.005073592195007359,-0.0028244530614196517
1962-03-19,,-0.30634541302423346,-0.2616086030720686,,0.01133708494385699,0.0030630826188151605
1962-03-20,,-0.36890657728517795,-0.2639273904204866,,0.014809590687137275,0.005333268687652382
1962-03-21,,-0.49220891802780925,-0.26972435879153156,,0.025274827190742144,0.01132038405814928
1962-03-22,,-0.5491290449854455,-0.2732025398141585,,0.03011578818200844,0.011112073552522528
1962-03-23,,-0.33435764039218385,-0.26856496511732253,,0.017504928412350518,-0.0007347808516108278
1962-03-26,,-0.24166445692611588,-0.2662461777689046,,0.010927559605282022,-0.004434751885378674
1962-03-27,,-0.19689455627800412,-0.2650867840946956,,0.00735508454306566,-0.0047879450723050665
1962-03-28,,-0.19689455627800412,-0.2650867840946956,,0.006326810260270488,-0.0026734718677846603
1962-03-29,,-0.19689455627800412,-0.2650867840946956,,0.00543930047239094,-0.0008749544294565093
1962-03-30,,-0.3194795007175497,-0.26972435879153156,,0.014140042658300267,0.006188149203153248
1962-04-02,,-0.3194795007175497,-0.26972435879153156,,0.01261620854139811,0.003732534439997215
1962-04-03,,-0.3992413521251234,-0.2732025398141585,,0.01840217649997755,0.006805835694752016
