2019-01-10 01:39:23,034 Error with C
2019-01-10 01:39:39,083 Error with V
2019-01-10 01:40:36,877 Error with GS
2019-01-10 01:40:55,198 Error with GOOG
2019-01-10 01:41:23,495 Error with QQQ
2019-01-10 01:41:23,503 Error with C
2019-01-10 01:41:23,511 Error with V
2019-01-10 01:41:23,517 Error with GS
2019-01-10 01:41:23,522 Error with GOOG
2019-01-10 01:41:23,528 Error with QQQ
2019-01-10 01:41:23,534 Error with C
2019-01-10 01:41:23,543 Error with V
2019-01-10 01:41:23,549 Error with GS
2019-01-10 01:41:23,554 Error with GOOG
2019-01-10 01:41:23,560 Error with QQQ
