Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,9.488125,9.850625,9.486875,9.66,9.65579,5563200
2011-01-04,9.78125,9.78375,9.460625,9.645,9.640799,5480000
2011-01-05,9.549375,9.88875,9.536875,9.884375,9.880068,5120000
2011-01-06,9.919375,9.996875,9.858125,9.97375,9.969404,4355200
2011-01-07,10.024375,10.04125,9.661875,9.950625,9.94629,6350400
2011-01-10,9.875,10.113125,9.809375,10.0625,10.058115,3585600
2011-01-11,10.185,10.206875,10.005625,10.10875,10.104345,4580800
2011-01-12,10.24875,10.32,10.130625,10.31375,10.309257,5587200
2011-01-13,10.350625,10.409375,10.246875,10.34625,10.341742,5476800
2011-01-14,10.34125,10.57375,10.27375,10.570625,10.566019,2553600
2011-01-18,10.300625,10.6875,10.283125,10.655,10.650356,5755200
2011-01-19,10.709375,10.709375,10.19125,10.298125,10.293639,6248000
2011-01-20,10.175,10.200625,9.8375,10.066875,10.06249,7894400
2011-01-21,10.21375,10.275,9.83,9.836875,9.832588,4368000
2011-01-24,9.891875,10.251875,9.839375,10.243125,10.238661,3601600
2011-01-25,10.105,10.2925,10.03125,10.27875,10.274272,3993600
2011-01-26,10.345,10.535,10.249375,10.438125,10.433577,4140800
2011-01-27,10.560625,10.728125,10.503125,10.639375,10.634739,4640000
2011-01-28,10.643125,10.663125,9.695625,9.836875,9.832588,10606400
2011-01-31,9.875625,10.0575,9.65625,9.9825,9.978151,6665600
2011-02-01,10.2125,10.60625,10.17375,10.536875,10.532284,8476800
2011-02-02,10.48125,10.5975,10.423125,10.489375,10.484805,3838400
2011-02-03,10.43125,10.586875,10.179375,10.53,10.525412,5481600
2011-02-04,10.556875,10.7375,10.46125,10.72,10.715329,5664000
2011-02-07,10.786875,11.043125,10.73375,10.875625,10.870886,4324800
2011-02-08,10.879375,11.1075,10.825,11.1075,11.10266,5582400
2011-02-09,11.03375,11.13125,10.931875,11.04,11.03519,5433600
2011-02-10,10.85625,11.11625,10.78125,11.09375,11.088917,5920000
2011-02-11,10.99125,11.328125,10.9375,11.32125,11.316317,3939200
2011-02-14,11.31875,11.445,11.28875,11.3925,11.387536,2484800
2011-02-15,11.329375,11.388125,11.20125,11.363125,11.358174,3884800
2011-02-16,11.4525,11.664375,11.435625,11.573125,11.568083,5880000
2011-02-17,11.4025,11.625,11.38125,11.563125,11.558086,3614400
2011-02-18,11.57,11.61625,11.360625,11.4975,11.492491,5340800
2011-02-22,11.03875,11.125,10.4375,10.485,10.480432,10076800
2011-02-23,10.481875,10.594375,9.99125,10.22625,10.221793,8094400
2011-02-24,10.298125,10.475,10.0,10.371875,10.367356,13355200
2011-02-25,10.565,10.86125,10.535,10.81625,10.811537,4514400
2011-02-28,10.94,11.0475,10.69875,10.895,10.890253,4346400
2011-03-01,11.04125,11.04125,10.28125,10.37125,10.366732,5120800
2011-03-02,10.35125,10.73125,10.3425,10.5175,10.512918,4754400
2011-03-03,10.82375,11.2025,10.8225,11.145,11.140144,5534400
2011-03-04,11.15,11.15,10.7625,10.98,10.975216,4559200
2011-03-07,11.1175,11.13625,10.2475,10.5425,10.537906,5732000
2011-03-08,10.4825,10.805,10.3125,10.6525,10.64786,5365600
2011-03-09,10.565,10.57875,10.27625,10.4375,10.432952,4044000
2011-03-10,10.0675,10.15625,9.83375,9.96,9.955661,7287200
2011-03-11,9.79375,10.21125,9.77875,10.12625,10.121839,4272800
2011-03-14,9.96125,10.1875,9.80125,10.0275,10.023131,3288000
2011-03-15,9.135,9.7825,9.04375,9.6175,9.61331,7827200
2011-03-16,9.3775,9.52375,8.71875,8.91125,8.907368,9032000
2011-03-17,9.31875,9.4375,9.135,9.14375,9.139767,4853600
2011-03-18,9.46375,9.4675,9.075,9.09375,9.089787,4946400
2011-03-21,9.4925,9.75,9.4525,9.60125,9.597067,3968800
2011-03-22,9.64625,9.675,9.5,9.575,9.570827,2681600
2011-03-23,9.4575,9.805,9.265,9.72,9.715765,4356000
2011-03-24,9.9475,10.31,9.7775,10.24875,10.244284,5444000
2011-03-25,10.35125,10.525,10.28125,10.32375,10.319251,6179200
2011-03-28,10.46375,10.465,10.13625,10.14875,10.144328,3701600
2011-03-29,10.0875,10.4425,9.9825,10.44,10.435452,2804000
2011-03-30,10.6,10.63375,10.4575,10.59375,10.589134,2814400
2011-03-31,10.55,10.665,10.4875,10.63875,10.634114,2351200
2011-04-01,10.79125,10.895,10.5625,10.655,10.650356,3148000
2011-04-04,10.74625,10.7725,10.41125,10.55875,10.554149,2600800
2011-04-05,10.48,10.65,10.4,10.43875,10.434202,2247200
2011-04-06,10.68875,10.7925,10.3525,10.5175,10.512918,2766400
2011-04-07,10.525,10.71625,10.29875,10.515,10.510419,2997600
2011-04-08,10.66,10.6975,10.20125,10.3575,10.352986,2102400
2011-04-11,10.4775,10.54875,10.16125,10.26375,10.259278,2336800
2011-04-12,10.11875,10.195,9.93125,10.06125,10.056866,2773600
2011-04-13,10.27875,10.38625,10.0625,10.30125,10.296762,2952000
2011-04-14,10.08625,10.2925,9.9625,10.245,10.240536,2828000
2011-04-15,10.125,10.3125,9.9975,10.17875,10.174315,6236800
2011-04-18,9.88375,9.9875,9.48,9.9825,9.978151,5240000
2011-04-19,10.045,10.1625,9.8975,10.1625,10.158072,4472000
2011-04-20,10.69875,10.88,10.6625,10.83875,10.834027,5464800
2011-04-21,11.1775,11.18125,11.01375,11.11375,11.108908,2707200
2011-04-25,11.15375,11.2125,11.0775,11.19625,11.191372,1889600
2011-04-26,11.2875,11.5,11.21875,11.38875,11.383787,1866400
2011-04-27,11.4375,11.65375,11.295,11.625,11.619935,2611200
2011-04-28,11.51125,11.6125,11.41875,11.6075,11.602443,2751200
2011-04-29,11.5175,11.63625,11.46875,11.55125,11.546217,2184000
2011-05-02,11.60125,11.675,11.38625,11.48875,11.483746,2244800
2011-05-03,11.4525,11.485,11.10125,11.31625,11.311319,2175200
2011-05-04,11.315,11.41125,10.9825,11.25,11.245098,3414400
2011-05-05,11.085,11.47375,10.95875,11.08125,11.076423,3989600
2011-05-06,11.41875,11.59875,11.08875,11.1775,11.17263,3201600
2011-05-09,11.23,11.43625,11.11125,11.29875,11.293827,1744800
2011-05-10,11.41,11.6375,11.34875,11.58875,11.5837,2306400
2011-05-11,11.55375,11.66375,11.105,11.33875,11.33381,2696000
2011-05-12,11.22,11.58625,11.03875,11.53875,11.533723,2512000
2011-05-13,11.46125,11.51375,11.11875,11.13,11.125151,3085600
2011-05-16,10.98375,11.07125,10.4775,10.55125,10.546654,3321600
2011-05-17,10.3925,10.64375,10.32875,10.6375,10.632864,3739200
2011-05-18,10.59875,10.95875,10.555,10.89625,10.891502,1773600
2011-05-19,11.0225,11.06375,10.8025,10.99,10.985211,2192800
2011-05-20,10.9525,10.995,10.7075,10.7475,10.742818,1819200
2011-05-23,10.30625,10.39375,10.12875,10.28125,10.276771,3226400
2011-05-24,10.36,10.36,10.085,10.0875,10.083105,2830400
2011-05-25,10.03875,10.34125,10.0325,10.2,10.195556,2246400
2011-05-26,10.1,10.47625,10.1,10.39125,10.386722,1964000
2011-05-27,10.4425,10.5775,10.42,10.54625,10.541656,1460800
2011-05-31,10.85,11.05375,10.67875,11.05375,11.048935,2304800
2011-06-01,10.98125,11.05125,10.3175,10.3475,10.342991,3848000
2011-06-02,10.39375,10.50625,10.23625,10.4075,10.402966,1949600
2011-06-03,10.0425,10.27125,9.9,9.935,9.930672,3391200
2011-06-06,9.88875,10.015,9.68375,9.695,9.690776,2228000
2011-06-07,9.77,9.8825,9.62125,9.63875,9.634551,2327200
2011-06-08,9.5725,9.6225,9.35,9.43125,9.427139,3896800
2011-06-09,9.435,9.6075,9.3475,9.4725,9.468372,1836000
2011-06-10,9.34375,9.4075,9.02375,9.0375,9.033563,2320800
2011-06-13,9.07625,9.1825,8.9525,9.04375,9.039809,2457600
2011-06-14,9.2475,9.45875,9.245,9.38,9.375913,2438400
2011-06-15,9.12625,9.28875,8.80625,8.8675,8.863636,3722400
2011-06-16,8.8725,8.95625,8.52625,8.74375,8.739939,3548800
2011-06-17,8.99125,9.025,8.6025,8.67875,8.674969,3748800
2011-06-20,8.59375,8.8825,8.59375,8.79375,8.789918,1967200
2011-06-21,8.9075,9.3975,8.78875,9.38,9.375913,3095200
2011-06-22,9.255,9.4175,9.1625,9.16875,9.164755,2592000
2011-06-23,8.8675,9.435,8.785,9.4225,9.418394,4827200
2011-06-24,9.2825,9.31125,8.8825,8.92625,8.922361,3918400
2011-06-27,8.96875,9.4825,8.9175,9.36,9.355922,3098400
2011-06-28,9.4275,9.785,9.3925,9.78,9.775739,2403200
2011-06-29,9.86625,9.95,9.6875,9.9025,9.898186,2850400
2011-06-30,10.00625,10.30875,9.98875,10.27875,10.274272,3768000
2011-07-01,10.3125,10.795,10.22375,10.755,10.750315,3196800
2011-07-05,10.79125,10.945,10.7225,10.91,10.905247,3053600
2011-07-06,10.8825,11.0725,10.775,11.02625,11.021445,3326400
2011-07-07,11.26875,11.56875,11.22875,11.4725,11.467501,4462400
2011-07-08,11.18125,11.38125,10.99875,11.3775,11.372542,6084800
2011-07-11,11.03,11.19125,10.6475,10.7675,10.762808,5642400
2011-07-12,10.7525,10.8225,10.49,10.505,10.500423,4193600
2011-07-13,10.73875,10.965,10.53375,10.645,10.640362,4783200
2011-07-14,10.73875,10.87625,10.1575,10.27875,10.274272,5143200
2011-07-15,10.6325,10.6875,10.4125,10.6875,10.682844,4016800
2011-07-18,10.5275,10.6475,10.2125,10.51125,10.50667,3528800
2011-07-19,10.8275,11.26875,10.825,11.2525,11.247597,6036000
2011-07-20,11.43125,11.4375,11.05,11.095,11.090165,4461600
2011-07-21,11.12875,11.5,10.95,11.32,11.315067,5467200
2011-07-22,11.31,11.71625,11.2775,11.67125,11.666165,3811200
2011-07-25,11.3825,11.7875,11.32625,11.6025,11.597445,3337600
2011-07-26,11.56375,11.8075,11.50875,11.66625,11.661167,4306400
2011-07-27,11.45375,11.475,10.7,10.78125,10.776552,6002400
2011-07-28,10.80125,11.2425,10.67375,10.83875,10.834027,5141600
2011-07-29,10.5725,11.0675,10.42125,10.73375,10.729074,6239200
2011-08-01,11.1225,11.18,10.2,10.58875,10.584136,8222400
2011-08-02,10.4275,10.57,9.74375,9.785,9.780736,7375200
2011-08-03,9.81,10.08875,9.3075,10.03875,10.034376,7316000
2011-08-04,9.625,9.6725,8.67,8.6725,8.668721,12171200
2011-08-05,8.96,9.07125,7.77125,8.48125,8.477554,13243200
2011-08-08,7.73375,8.15375,6.975,6.99125,6.988204,16060800
2011-08-09,7.2675,7.97375,6.69875,7.94875,7.945287,17744000
2011-08-10,7.41625,7.7625,6.97,7.01125,7.008195,13482400
2011-08-11,7.28375,8.15125,7.195,7.91125,7.907803,11931200
2011-08-12,8.09125,8.25625,7.80875,8.1125,8.108966,10428800
2011-08-15,8.21375,8.465,8.10125,8.4625,8.458813,6312000
2011-08-16,8.2325,8.465,7.9225,8.245,8.241408,6276800
2011-08-17,8.295,8.4925,7.86,8.11125,8.107717,8843200
2011-08-18,7.45,7.4525,6.71125,6.935,6.931978,13696800
